horse_id,horse_name,declared_entry_count,nonempty_entry_count,mojibake_cells_repaired,qc_status,source_url
2009105546,フーラブライド,62,62,24,PASS,https://db.netkeiba.com/horse/ped/2009105546/
2009100570,アドマイヤフライト,62,62,11,PASS,https://db.netkeiba.com/horse/ped/2009100570/
2010104866,タマモベストプレイ,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2010104866/
2007101798,メイショウカンパク,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2007101798/
2010103602,サトノノブレス,62,62,11,PASS,https://db.netkeiba.com/horse/ped/2010103602/
2008104252,コウエイオトメ,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2008104252/
2010104698,ビービートレイター,62,62,20,PASS,https://db.netkeiba.com/horse/ped/2010104698/
2010104510,アクションスター,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2010104510/
2008102584,ヴィクトリースター,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2008102584/
2008104798,ダコール,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2008104798/
2008101165,コスモロビン,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2008101165/
2006105845,メイショウサミット,62,62,3,PASS,https://db.netkeiba.com/horse/ped/2006105845/
2008103350,ムーンリットレイク,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2008103350/
2010104256,トウシンモンステラ,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2010104256/
2007102929,ダークシャドウ,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2007102929/
2009104977,マイネルディーン,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2009104977/
2007103033,フラガラッハ,62,62,12,PASS,https://db.netkeiba.com/horse/ped/2007103033/
2009102678,ディサイファ,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2009102678/
2008104739,マイネルメダリスト,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2008104739/
2009102739,ゴールドシップ,62,62,26,PASS,https://db.netkeiba.com/horse/ped/2009102739/
2009105742,エアソミュール,62,62,9,PASS,https://db.netkeiba.com/horse/ped/2009105742/
2010104296,フェイムゲーム,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2010104296/
2008103095,ユニバーサルバンク,62,62,7,PASS,https://db.netkeiba.com/horse/ped/2008103095/
2009103847,クリールカイザー,62,62,16,PASS,https://db.netkeiba.com/horse/ped/2009103847/
2008102978,オーシャンブルー,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2008102978/
2008103100,ミトラ,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2008103100/
2006103368,セイクリッドバレー,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2006103368/
2006109274,ラインブラッド,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2006109274/
2011102893,ショウナンラグーン,62,62,18,PASS,https://db.netkeiba.com/horse/ped/2011102893/
2008103349,ノーステア,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2008103349/
2008103235,レッドデイヴィス,62,62,14,PASS,https://db.netkeiba.com/horse/ped/2008103235/
2010105827,キズナ,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2010105827/
2010100460,ヒラボクディープ,62,62,5,PASS,https://db.netkeiba.com/horse/ped/2010100460/
2011104000,ハープスター,62,62,9,PASS,https://db.netkeiba.com/horse/ped/2011104000/
2011105898,スズカデヴィアス,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2011105898/
2010104087,メジャープレゼンス,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2010104087/
2009100374,ステラウインド,62,62,13,PASS,https://db.netkeiba.com/horse/ped/2009100374/
2008102638,ネオブラックダイヤ,62,62,12,PASS,https://db.netkeiba.com/horse/ped/2008102638/
2007100206,タニノエポレット,62,62,10,PASS,https://db.netkeiba.com/horse/ped/2007100206/
2006106754,サイモントルナーレ,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2006106754/
2008103361,カルドブレッサ,62,62,9,PASS,https://db.netkeiba.com/horse/ped/2008103361/
2009104380,カムフィー,62,62,11,PASS,https://db.netkeiba.com/horse/ped/2009104380/
2009106492,ニューダイナスティ,62,62,4,PASS,https://db.netkeiba.com/horse/ped/2009106492/
2009104946,タガノグーフォ,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2009104946/
2011104477,シャンパーニュ,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2011104477/
2010101607,リキサンステルス,62,62,12,PASS,https://db.netkeiba.com/horse/ped/2010101607/
2010103013,タイセイドリーム,62,62,6,PASS,https://db.netkeiba.com/horse/ped/2010103013/
2008104467,ファタモルガーナ,62,62,8,PASS,https://db.netkeiba.com/horse/ped/2008104467/
2012104823,ベルラップ,62,62,9,PASS,https://db.netkeiba.com/horse/ped/2012104823/
2012100517,タガノエスプレッソ,62,62,12,PASS,https://db.netkeiba.com/horse/ped/2012100517/
2012104638,シャイニングレイ,62,62,22,PASS,https://db.netkeiba.com/horse/ped/2012104638/
